电影类别,备案立项号,片名,备案单位,编剧,备案结果,备案地,梗概,公示日期,公示批次名称,备案详细页链接,公示批次链接
故事影片,影剧备字〔2021〕第1712号,不必说抱歉,山东碧胜文化传播有限公司,王慢慢,同意拍摄,山东省,石韬是一个泥塑师，孩子们在他的工艺坊玩泥塑，石韬拒绝了一个小女孩的礼物，小女孩因委屈对大人说了一个谎言，导致石韬阴差阳错的遭受各种误解和不公，问心无愧的石韬用修养和品行纠正无端的质疑，捍卫自己的尊严。,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56455,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1608号,魔盒1,山东橙果影视文化发展有限公司,梁鸿华,同意拍摄,山东省,生活昏暗的女大学生施锦子偶然得到一个可以许6个愿望的神秘盒子，认为赚到了的她殊不知危险正在一个个向她家人靠近。她的每一次愿望都带来了一次意外，贪婪的她不以为然，最终惨遭不测。,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56456,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1629号,奉先殿秘录之王者天下,山东杰百旺影视文化有限公司,韩愈,同意拍摄,山东省,藩王兵临城下，皇帝周肃文靠“移魂之术”改头换面苟且偷生。在逃亡路上遇到了刺客埋伏，幸好有山贼出手相助才保住性命。在山寨的生活中，周肃文身为王者的责任感以及正义感被唤醒。最终选择挺身而出、剿灭奸臣。,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56457,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1606号,寻找英雄,山东柒玖影业有限公司,孙夜晓,同意拍摄,山东省,博士毕业的张一凡没有出国深造而是回到家乡，并爷爷张大军的支持下跟父亲竞选起村委会主任，这让父亲张元良很不理解。故事由此展开，祖孙三代面对这一片故乡热土，上演了一幕幕精彩纷呈的故事。,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56458,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1711号,镖王,山东小草青青影业有限公司,刘青松,同意拍摄,山东省,傅安出使西域持节不屈，以赵天翊为首的龙威护卫不辱使命和平解救傅安，并以德感化番邦首领，化干戈为玉帛。体现了我华夏大国道义为先，义利并举的尊严与威徳。,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56459,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1706号,铁锤的春天,中影金马（山东）影业有限公司,杨宝德,同意拍摄,山东省,农村小伙杨铁锤和富商的女儿王薇薇相恋，富商想把女儿许配给好友的儿子马腾，以求得资金帮助集团，王薇薇为了追寻自己的爱情奋力抗争，最终和王铁锤在一起过上了幸福的生活。,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56460,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1484号,军号从王莽岭响起,山西广电影视艺术传媒有限公司、山西日臻影视传媒有限公司,王强,同意拍摄,山西省,陵川县河头庄村穷孩子牛修武，参加八路军号兵训练班，刻苦学习。解放战争中，成长为我军基层干部。在解放云南战役时，率领一个排，坚守伏波岭阵地，多次击退敌军的疯狂进攻，堵住敌逃往越南的路，英勇牺牲。,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56461,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1505号,欢迎您再来,山西景辰未来影视传媒有限公司,汪洪、刘鹏飞、张琳,同意拍摄,山西省,郝有理与老板甄皮修闹掰辞职，回到家乡小溪村写了一篇虚假宣传当地美景的文章，结果文章大火，引来想靠旅行挽救婚姻的甄皮修夫妻。一行人在小溪村发生了一系列滑稽又感人的故事，最终推动了当地文旅产业发展。,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56462,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1695号,烽烟南太行,山西微媒体文化传媒有限公司,赵光明,同意拍摄,山西省,牛金娃受晋城中心县委委派来到西土河村开展工作，发展党员，建立武装。牛金娃成功将西土河村带有迷信色彩的“红枪会”改造成抗日游击队，建立起党组织，粉碎了鬼子的征粮行动，并完成上级交办护送八路军首长的任务。,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56463,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1570号,天机神宫之悬龙归墟,陕西广电影视文化产业发展有限公司,柳庆庆,同意拍摄,陕西省,本片描写了天机后人滕启啸，为获得自由，并寻找当年失踪的父亲，替当朝皇子晋王寻得天机宝物镇龙盘。而后却发现晋王意图炸毁镇龙盘，实现一统天下的狼子野心。最终，滕启啸为避免涂炭生灵，成功阻止晋王，保全镇龙盘,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56464,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1498号,夜宿梨树湾,陕西华原文化产业投资发展有限公司,王冰峰,同意拍摄,陕西省,游击队员为救治红军伤员急需抗菌素盘尼西林，在运输途中遭到国民党军雷天一等人拦截。为保护药品不被敌军发现，将它藏在客栈并与土匪、国民党军在客栈斗智斗勇，在客栈老板等人的帮助下，终将药品安全送到根据地。,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56465,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1717号,大都汇,陕西嘉轩天赋影视文化有限公司,李晓虎,同意拍摄,陕西省,大明赛车时发生意外兄弟闻西不幸离世。重情重义的他为了凑闻西母亲的手术费，再次赛车却输掉比赛。无奈向孙姿借钱却发生口角，慌乱中误伤了孙姿的兄弟，不知如何是好的他只能暂时躲避，却在此期间找到了人生的方向。,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56466,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1520号,捌拾叁,陕西普诚泽瑞文化传媒有限公司,刘夏,同意拍摄,陕西省,为了完成母亲遗愿，给曾经保卫村庄的烈士们修建纪念碑，叶舒岭踏上了属于他的征程。一路上，他用自己的坚定信念和纯朴初心，收获了难得的友情。最终，在众多的帮助之下，纪念碑终于建成。,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56467,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1715号,优游,陕西石榴影视文化传播有限公司,沈晓闽,同意拍摄,陕西省,讲述了贾阳和张波两个失落的人来到海岛，他们邂逅了曼珠华姐妹。七周的海岛之旅，四个年轻人经历了彼此的误会和摩擦，在追逐与被追逐之间产生了感情。他们在海岛各处游历，治愈了伤痛，重新思考人生并开始新生活。,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56468,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1504号,不惑之年,陕西西咸新区秦汉新城影视发展有限公司、西咸新区橙蝶影视文化有限公司,李京玉,同意拍摄,陕西省,刘卫东早年丧妻后独自抚养着儿子刘志，成功企业家张国庆身为单亲父亲却一直搞不定儿子张峰，张国庆招聘专职司机的事，让他和刘卫东相遇。两个家庭通过不断碰撞，最终化解了各自的矛盾并在生活中相互包容，支持。,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56469,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1566号,筑梦少年,陕西西影数码传媒科技有限责任公司,刘刚,同意拍摄,陕西省,假期都市日报小记者参加报社对贫困山村村民在党和政府的带领下脱贫致富采访报道，与当地的同龄小伙伴之间的友谊。同时小记者们想怎么能更好的宣传当地特产为村民做点贡献发生的其妙故事,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56470,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1483号,终劫十二,陕西新弘晟晖影视制作发行有限公司、佛山天享影业有限公司、陕西华源浩海影视制作发行有限公司,张曙、谷国庆,同意拍摄,陕西省,民国初年，滨海港商会会长李三林女儿与多名幼童被掳，下落不明，多年前类似案件也浮出水面。三林与警察小森追查出各种线索均指向普度众生的救济会。他们接近谜底，解救孩童，但冥冥中一股势力正将魔掌伸向整个滨海。,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56471,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1645号,我的协议女友,西安白露风河旅游文化传播有限公司、河北正天景合文化传媒有限公司,杨梓,同意拍摄,陕西省,叶梓夕陪“男友”返回老家看望病危的奶奶，无意中开启了她与“婆婆”和“奶奶”间一段爆笑又危机四伏的农村直播带货经历。男女主人公也在这复杂又变幻莫测的家庭关系中渐生情愫，最终两人在家人的撮合下成为真正情侣,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56472,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1588号,梦想的足迹,西安二十一圈影视文化传媒有限公司,张奕辄、李锐,同意拍摄,陕西省,郑辉因父亲修脚工的身份而倍感屈辱。在一次激烈争吵将父亲气进ICU后，郑辉竟意外回到几十年前，与年轻时期的父亲重新结识。通过一段时间的相处，郑辉渐渐明白父亲的执着，选择与父亲和解，并帮助他实现未尽的梦想,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56473,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1500号,半空有眼,西安九重天影视文化传播有限责任公司,张建勇 杜鹏孝,同意拍摄,陕西省,一个边区最大潜伏特务网的惊险破获故事。一个发生在解放前延安时期，隐蔽战线上罕为人知的事件。一个在民族大义面前，何去何从艰难抉择的历程。并最终牺牲自我走向光明，走向新中国的信仰故事。,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56474,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1499号,苍穹青山,西安乐和影视文化传媒有限公司,任彦,同意拍摄,陕西省,植物学博士周志不顾女友秦露的反对，自愿扎根到秦岭山区林场基层一线从事生态保护，遇见了守护秦岭山区近40年的老护林员吕青山，两代护林人完成了接力守望，保护苍穹青山常绿，同时周志也挽回了女友的爱情。,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56475,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1553号,税金马车,西安日月联合影视文化传播有限公司,白文光,同意拍摄,陕西省,故事讲述了民国时期在狂野西部人性厮杀的环境中，几路不明身份的人为抢夺税金马车占据了一个客栈，客栈女主人和伙计为了生存奋力反抗保护自己客栈的故事。,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56476,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1714号,黑白城,西安日月联合影视文化传播有限公司,白文光,同意拍摄,陕西省,故事讲诉野马帮老大马青云被部下出卖，重伤出逃后失忆变成了县城里一个老实巴交的车夫陈安平，保安团队长为剿灭野马帮，恶意诬陷陈安平欲将他当成匪帮替罪羊，陈安平在逼迫下一步步变成匪徒马青云。,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56477,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1587号,加油啊！三筒,西安识君影视文化有限公司,郭子圣,同意拍摄,陕西省,天听和妻子百合的离婚官司纠扯多年，强迫妻子离婚后必须把儿子三筒也一起带走。天听患了失忆症，已无力再照顾儿子，得知真相的百合终于释怀，而天听唯一的愿望就是希望儿子能永远好好的。,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56478,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
