序号,电影类别,编码,公映证号,片名,第一出品单位,公示批次链接,公示名称,公示日期
44,国产故事片,1104512020,395,南越宫词（粤剧）,中国电影股份有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
45,国产故事片,1104462020,402,男神游戏,成都戈亚盛世文化艺术有限责任公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
46,国产故事片,1104982020,427,青春的味道,北京嘉辰国际文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
47,国产故事片,1105162020,447,再见班花,天津萤火虫文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
48,国产故事片,1105282020,453,我的爸爸是齐天大圣,河南光华影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
49,国产故事片,1105402020,469,大头大头下雨不愁,河南大头大头文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
50,国产故事片,1105772020,497,超时空日记,福建龙人影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
51,国产故事片,11005552020,501,你的婚礼,北京光线影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
52,国产故事片,1105852020,503,二人·世界,星运福来（济南）影视传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
53,国产故事片,1105822020,505,毛泽东在才溪,八一电影制片厂,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
54,国产故事片,1105802020,509,挑山者,泰安市广播电视台,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
55,国产故事片,1106052020,519,火线之上,西安曲江影视投资（集团）有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
56,国产故事片,1106092020,524,孤山魅影,杭州安迪文化传播有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
57,国产故事片,1106102020,525,我是刑警王,内蒙古匠成影视有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
58,国产故事片,1106122020,527,有一点动心,成都龙瑞影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
59,国产故事片,1106162020,531,战旗飘飘,成都魅力映像文化传播有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
1,国产故事片,1100422021,6,宴遇奇缘,电影频道节目中心,http://www.chinafilm.gov.cn/chinafilm/contents/168/3379.shtml,2021年电影公映许可证发放公示（国产故事片第三批）,2021-04-08
2,国产故事片,1100222021,23,三生三世花之殇,北京盛锦天汇文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3379.shtml,2021年电影公映许可证发放公示（国产故事片第三批）,2021-04-08
3,国产故事片,1100402021,43,镇伏司·火神之怒,浙江鸣风在竹影视文化有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3379.shtml,2021年电影公映许可证发放公示（国产故事片第三批）,2021-04-08
4,国产故事片,1100542021,53,阴阳剑,西安桃李影视有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3379.shtml,2021年电影公映许可证发放公示（国产故事片第三批）,2021-04-08
5,国产故事片,1104912020,18,夏夜骑士,四川超小号影业有限责任公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3379.shtml,2021年电影公映许可证发放公示（国产故事片第三批）,2021-04-08
6,国产故事片,1100322020,20,触摸,北京中视文公文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3379.shtml,2021年电影公映许可证发放公示（国产故事片第三批）,2021-04-08
7,国产故事片,1100402020,28,冲撞,上海鸣涧影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3379.shtml,2021年电影公映许可证发放公示（国产故事片第三批）,2021-04-08
8,国产故事片,1100542020,42,丝路长歌之寒窑,陕西正元国风文化发展有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3379.shtml,2021年电影公映许可证发放公示（国产故事片第三批）,2021-04-08
9,国产故事片,1101552020,136,卧云,成都乐图恒文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3379.shtml,2021年电影公映许可证发放公示（国产故事片第三批）,2021-04-08
10,国产故事片,1101572020,139,石狮爱情故事,福建省灵耀文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3379.shtml,2021年电影公映许可证发放公示（国产故事片第三批）,2021-04-08
11,国产故事片,1102512020,165,凤鸣木洞,重庆南语影视文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3379.shtml,2021年电影公映许可证发放公示（国产故事片第三批）,2021-04-08
12,国产故事片,1104172020,348,三拂袖（豫剧）,郑州市赢冠文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3379.shtml,2021年电影公映许可证发放公示（国产故事片第三批）,2021-04-08
13,国产故事片,1104072020,363,猎徒行动,重庆铂凌影视传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3379.shtml,2021年电影公映许可证发放公示（国产故事片第三批）,2021-04-08
14,国产故事片,1104262020,372,了不起的老爸,江苏猫眼文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3379.shtml,2021年电影公映许可证发放公示（国产故事片第三批）,2021-04-08
15,国产故事片,1104712020,413,江水无声,武汉美轮美奂文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3379.shtml,2021年电影公映许可证发放公示（国产故事片第三批）,2021-04-08
16,国产故事片,1104772020,421,谁是凶手,公安部金盾影视文化中心,http://www.chinafilm.gov.cn/chinafilm/contents/168/3379.shtml,2021年电影公映许可证发放公示（国产故事片第三批）,2021-04-08
17,国产故事片,1105142020,445,没有说出的秘密,苏州市家铭文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3379.shtml,2021年电影公映许可证发放公示（国产故事片第三批）,2021-04-08
18,国产故事片,1105192020,449,单车奇缘,北京华辰星空影视文化传媒有限公司温州分公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3379.shtml,2021年电影公映许可证发放公示（国产故事片第三批）,2021-04-08
19,国产故事片,1105292020,455,药·不要,北京乐无界文化传播有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3379.shtml,2021年电影公映许可证发放公示（国产故事片第三批）,2021-04-08
20,国产故事片,1105652020,484,侠胆医心之暗潮汹涌,北京云之乡文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3379.shtml,2021年电影公映许可证发放公示（国产故事片第三批）,2021-04-08
21,国产故事片,1105762020,496,冬雪暖阳,北京海晏和清影视文化有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3379.shtml,2021年电影公映许可证发放公示（国产故事片第三批）,2021-04-08
22,国产故事片,1106022020,513,骆驼客3-弓魂传,电影频道节目中心,http://www.chinafilm.gov.cn/chinafilm/contents/168/3379.shtml,2021年电影公映许可证发放公示（国产故事片第三批）,2021-04-08
23,国产故事片,1105922020,516,致命嫌疑,西安白露风河旅游文化传播有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3379.shtml,2021年电影公映许可证发放公示（国产故事片第三批）,2021-04-08
24,国产故事片,1106062020,521,我的姐姐,联瑞（上海）影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3379.shtml,2021年电影公映许可证发放公示（国产故事片第三批）,2021-04-08
1,国产故事片,1100152021,15,笨贼向前冲,甘肃飞天影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）,2021-03-09
2,国产故事片,1100242021,25,庖丁传奇之秦淮遗珠,电影频道节目中心,http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）,2021-03-09
3,国产故事片,1100252021,26,幻海,北京羚羊世纪文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）,2021-03-09
4,国产故事片,1104812020,8,草原上的搏克手,电影频道节目中心,http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）,2021-03-09
5,国产故事片,1101402020,121,神探罗蒙3,辽宁至德影视传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）,2021-03-09
6,国产故事片,1102202020,197,老人与经书,凉山九诺影视传媒有限责任公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）,2021-03-09
7,国产故事片,1102872020,247,武松血战狮子楼,江西尚世星河影视传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）,2021-03-09
8,国产故事片,1102712020,260,又见奈良,福建恒业影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）,2021-03-09
9,国产故事片,1103742020,302,花开正当时之月照秋河,贵州银河星科技文化发展有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）,2021-03-09
10,国产故事片,1103322020,308,大圣无双,北京拾壹影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）,2021-03-09
11,国产故事片,1103332020,309,谍狼之变色龙,济宁市华腾文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）,2021-03-09
12,国产故事片,1103972020,350,不期而遇的夏天,陌陌影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）,2021-03-09
13,国产故事片,1104252020,370,五束阳光,云南善为传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）,2021-03-09
14,国产故事片,1104432020,393,一个笨蛋两个贼,尚宝佳艺国际影视文化传媒（北京）有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）,2021-03-09
15,国产故事片,1104682020,410,春天的约定,河北电影制片厂,http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）,2021-03-09
16,国产故事片,1105252020,420,兔子暴力,北京劳雷影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）,2021-03-09
17,国产故事片,1104972020,426,后山里的女人,河南穆龙文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）,2021-03-09
18,国产故事片,1105152020,446,非正式爱情,北京嘉禾明珠影视文化有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）,2021-03-09
19,国产故事片,1105272020,452,悬崖,北京开画影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）,2021-03-09
20,国产故事片,1105322020,458,妈妈，我不想坐牢,云南音像出版社,http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）,2021-03-09
21,国产故事片,1105332020,459,功夫神童许阿瞿,南阳市大千文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）,2021-03-09
22,国产故事片,1105372020,463,永不分离,灿如星空影视传媒无锡有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）,2021-03-09
23,国产故事片,1105462020,464,马拉松的约定,电影频道节目中心,http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）,2021-03-09
24,国产故事片,1105632020,482,父母的城市生活,潇湘电影集团有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）,2021-03-09
25,国产故事片,1105692020,488,不二兄弟,厦门满满额文化传播有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）,2021-03-09
26,国产故事片,1105722020,491,钟馗伏妖,山东橙果影视文化发展有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）,2021-03-09
27,国产故事片,1105882020,510,天地之间,广安诗远德影视传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）,2021-03-09
28,国产故事片,1106072020,522,变身攻略,山西电影制片厂（有限公司）,http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）,2021-03-09
29,国产故事片,1106112020,526,红色动力,温州天运纵横文化传播有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）,2021-03-09
30,国产故事片,1106152020,530,塘河的流向,电影频道节目中心,http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）,2021-03-09
1,国产故事片,1100012021,1,刺杀小说家,华策影业（上海）有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2829.shtml,2021年电影公映许可证发放公示（国产故事片第一批）,2021-02-05
2,国产故事片,1100162021,16,发财日记,无锡贵映金画文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2829.shtml,2021年电影公映许可证发放公示（国产故事片第一批）,2021-02-05
3,国产故事片,1100242020,9,空中之城,骊行至尚（深圳）文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2829.shtml,2021年电影公映许可证发放公示（国产故事片第一批）,2021-02-05
4,国产故事片,1100962020,83,可惜没如果,北京中广传奇影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2829.shtml,2021年电影公映许可证发放公示（国产故事片第一批）,2021-02-05
5,国产故事片,1100982020,87,非常交易,联合映像娱乐传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2829.shtml,2021年电影公映许可证发放公示（国产故事片第一批）,2021-02-05
6,国产故事片,1101172020,105,云上的孩子,湖州腾泰影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2829.shtml,2021年电影公映许可证发放公示（国产故事片第一批）,2021-02-05
7,国产故事片,1101542020,140,跤魂,河北火星文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2829.shtml,2021年电影公映许可证发放公示（国产故事片第一批）,2021-02-05
8,国产故事片,1102522020,195,五岩山（豫剧）,鹤壁市豫剧牛派艺术研究院,http://www.chinafilm.gov.cn/chinafilm/contents/168/2829.shtml,2021年电影公映许可证发放公示（国产故事片第一批）,2021-02-05
9,国产故事片,1102222020,199,吉祥如意,上海他城影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2829.shtml,2021年电影公映许可证发放公示（国产故事片第一批）,2021-02-05
10,国产故事片,1102432020,220,直击现场,厦门蓝火焰影视股份有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2829.shtml,2021年电影公映许可证发放公示（国产故事片第一批）,2021-02-05
11,国产故事片,1102612020,233,象县剿匪记,天津翼龙影视文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2829.shtml,2021年电影公映许可证发放公示（国产故事片第一批）,2021-02-05
12,国产故事片,1102922020,253,世纪半的来信,深圳皇家影视传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2829.shtml,2021年电影公映许可证发放公示（国产故事片第一批）,2021-02-05
13,国产故事片,1103062020,264,飞碟玩幻地球人,北京胜美影视传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2829.shtml,2021年电影公映许可证发放公示（国产故事片第一批）,2021-02-05
14,国产故事片,1103012020,271,云上什寒,北京城宣文化发展中心,http://www.chinafilm.gov.cn/chinafilm/contents/168/2829.shtml,2021年电影公映许可证发放公示（国产故事片第一批）,2021-02-05
15,国产故事片,1103072020,273,丁文江,江苏星瑞影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2829.shtml,2021年电影公映许可证发放公示（国产故事片第一批）,2021-02-05
16,国产故事片,1103092020,275,笙声,云南枫槿影视制作有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2829.shtml,2021年电影公映许可证发放公示（国产故事片第一批）,2021-02-05
17,国产故事片,1103622020,284,老皮探长,西安白露风河旅游文化传播有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2829.shtml,2021年电影公映许可证发放公示（国产故事片第一批）,2021-02-05
18,国产故事片,1103432020,319,黄金迷局,西安白露风河旅游文化传播有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2829.shtml,2021年电影公映许可证发放公示（国产故事片第一批）,2021-02-05
19,国产故事片,1103612020,331,凿空者之使命召唤,电影频道节目中心,http://www.chinafilm.gov.cn/chinafilm/contents/168/2829.shtml,2021年电影公映许可证发放公示（国产故事片第一批）,2021-02-05
20,国产故事片,1103872020,340,二八时代,河北守敬文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2829.shtml,2021年电影公映许可证发放公示（国产故事片第一批）,2021-02-05
