公示批次链接,名称缩减
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0162d1e1e72c7c7c402881a6604a2c45&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2018年03月（下旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0162750db4082eee402881a6604a2c45&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2018年03月（中旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0162612962cb54a8402881a6604a2c45&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2018年03月（上旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=016219854cc01dbe402881a6604a2c45&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2018年02月（中旬、下旬）全国电影剧本（梗概）...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0161f45dd7a41de7402881a6604a2c45&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2018年02月（上旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=016188f881a3792b402881a6604a2c45&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2018年01月（下旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=016183e34d643de0402881a6604a2c45&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2018年01月（中旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=016163c7afb972e2402881a6604a2c45&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2018年01月（上旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0161037c83793712402881a6604a2c45&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年12月（下旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0160b9dbb5ba6034402881a6604a2c45&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年12月（中旬）全国电影剧本（梗概）备案、...
